id,nombre,edad,genero,ciudad,comentario,categoria_del_problema,nivel_de_urgencia,acceso_a_internet,atencion_previa_del_gobierno,zona_rural,año_del_reporte,mes_del_reporte
1,Jorge,23,Otro,Manizales,las calles están muy oscuras y peligrosas.,Salud,Urgente,0,1,0,2023,8
2,Camilo,40,Otro,Santa Marta,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,1,1,1,2023,4
3,Pedro,35,Otro,Medellín,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,1,1,0,2023,6
4,Ana,48,F,Bogotá,la contaminación del río está aumentando.,Seguridad,No urgente,0,1,1,2023,6
5,Jorge,62,M,Manizales,no hay suficientes escuelas públicas.,Seguridad,Urgente,1,0,1,2024,7
6,María,29,M,Cartagena,hay problemas con la recolección de basura.,Seguridad,No urgente,0,1,0,2023,9
7,Ana,48,M,Medellín,la contaminación del río está aumentando.,Salud,No urgente,0,1,0,2023,7
8,Jorge,38,F,Bogotá,no hay suficientes escuelas públicas.,Educación,Urgente,0,1,0,2023,4
9,Carlos,57,M,Medellín,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,1,1,1,2023,9
10,María,76,F,Cali,faltan médicos en el centro de salud.,Salud,No urgente,0,1,1,2024,9
11,Pedro,46,Otro,Bogotá,falta agua potable en varias casas.,Educación,Urgente,0,1,0,2024,4
12,Ana,67,M,Manizales,la contaminación del río está aumentando.,Seguridad,Urgente,1,1,1,2023,3
13,Laura,46,Otro,Medellín,falta agua potable en varias casas.,Salud,Urgente,1,0,0,2023,11
14,Sofía,72,F,Bogotá,no hay suficientes escuelas públicas.,Educación,No urgente,1,0,0,2023,8
15,Laura,67,F,Manizales,falta agua potable en varias casas.,Educación,Urgente,1,1,1,2024,8
16,Camilo,77,Otro,Manizales,faltan médicos en el centro de salud.,Salud,Urgente,0,1,1,2023,9
17,Valentina,22,F,Santa Marta,necesitamos más acceso a internet en la zona.,Salud,No urgente,1,1,1,2024,3
18,Juan,71,Otro,Barranquilla,la contaminación del río está aumentando.,Salud,No urgente,0,1,0,2023,12
19,Sofía,48,F,Manizales,Sin Comentario,Educación,Urgente,1,0,1,2023,11
20,Juan,52,M,Medellín,queremos más presencia policial.,Salud,Urgente,0,0,1,2024,6
21,Jorge,59,M,Cali,faltan médicos en el centro de salud.,Salud,Urgente,0,0,1,2024,7
22,Laura,65,M,Barranquilla,queremos más presencia policial.,Medio Ambiente,Urgente,0,1,0,2024,4
23,Jorge,51,Otro,Pereira,falta agua potable en varias casas.,Medio Ambiente,Urgente,0,1,0,2024,9
24,Laura,64,F,Barranquilla,las basuras no se recogen a tiempo.,Seguridad,No urgente,0,1,0,2024,5
25,Carlos,28,F,Manizales,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,1,1,1,2023,4
26,Sofía,69,F,Cúcuta,necesitamos más acceso a internet en la zona.,Seguridad,Urgente,0,1,1,2024,1
27,Ana,24,F,Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,0,1,0,2024,4
28,Sofía,63,Otro,Pereira,la contaminación del río está aumentando.,Medio Ambiente,No urgente,0,1,1,2024,8
29,Carlos,46,F,Cali,hay problemas con la recolección de basura.,Educación,Urgente,1,1,1,2024,6
30,Pedro,34,F,Cúcuta,falta agua potable en varias casas.,Seguridad,Urgente,0,0,0,2023,10
31,Ana,47,M,Medellín,queremos más presencia policial.,Salud,Urgente,1,0,1,2024,11
32,María,80,M,Barranquilla,falta agua potable en varias casas.,Medio Ambiente,Urgente,0,1,1,2023,2
33,Pedro,77,Otro,Santa Marta,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,1,1,1,2024,11
34,María,78,M,Barranquilla,las basuras no se recogen a tiempo.,Seguridad,Urgente,1,0,1,2024,9
35,Pedro,54,F,Santa Marta,necesitamos más acceso a internet en la zona.,Seguridad,Urgente,1,0,1,2023,3
36,Pedro,53,Otro,Bogotá,las basuras no se recogen a tiempo.,Educación,No urgente,1,1,0,2023,9
37,Carlos,18,M,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,0,0,0,2024,9
38,Juan,61,Otro,Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,0,0,1,2024,5
39,Sofía,33,F,Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,0,1,0,2024,10
40,Valentina,18,M,Manizales,falta agua potable en varias casas.,Educación,No urgente,0,0,0,2023,8
41,Valentina,48,F,Santa Marta,queremos más presencia policial.,Medio Ambiente,Urgente,0,1,1,2024,6
42,Ana,19,Otro,Cúcuta,las calles están muy oscuras y peligrosas.,Salud,No urgente,0,0,1,2024,8
43,María,50,Otro,Cali,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,1,0,0,2024,9
44,Laura,60,F,Medellín,las basuras no se recogen a tiempo.,Educación,No urgente,0,0,1,2023,3
45,Carlos,29,F,Pereira,queremos más presencia policial.,Educación,No urgente,0,0,0,2023,10
46,Jorge,59,Otro,Bucaramanga,hay problemas con la recolección de basura.,Educación,No urgente,1,0,0,2023,7
47,Camilo,19,M,Bogotá,queremos más presencia policial.,Medio Ambiente,No urgente,0,0,0,2023,8
48,Pedro,48,Otro,Manizales,faltan médicos en el centro de salud.,Salud,No urgente,1,1,1,2024,7
49,Laura,32,M,Cúcuta,las basuras no se recogen a tiempo.,Salud,Urgente,0,0,0,2024,4
50,Juan,48,Otro,Medellín,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,1,1,1,2024,8
51,Ana,66,M,Bogotá,las calles están muy oscuras y peligrosas.,Salud,No urgente,1,1,1,2023,2
52,Jorge,24,Otro,Cartagena,las calles están muy oscuras y peligrosas.,Seguridad,No urgente,0,1,1,2023,2
53,Pedro,53,M,Cartagena,la contaminación del río está aumentando.,Seguridad,Urgente,1,1,0,2024,10
54,María,59,Otro,Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,0,1,0,2023,4
55,Sofía,42,F,Bogotá,necesitamos más acceso a internet en la zona.,Salud,Urgente,1,0,0,2024,8
56,Camilo,58,M,Cúcuta,queremos más presencia policial.,Medio Ambiente,Urgente,1,1,0,2024,6
57,Jorge,53,F,Pereira,necesitamos más acceso a internet en la zona.,Salud,Urgente,1,1,0,2023,12
58,Valentina,31,M,Bucaramanga,no hay suficientes escuelas públicas.,Seguridad,Urgente,1,1,0,2023,10
59,Valentina,24,F,Bogotá,faltan médicos en el centro de salud.,Seguridad,No urgente,1,1,0,2024,11
60,Sofía,31,Otro,Cúcuta,queremos más presencia policial.,Medio Ambiente,Urgente,1,1,1,2023,4
61,Pedro,42,Otro,Medellín,necesitamos más acceso a internet en la zona.,Salud,No urgente,0,1,0,2023,10
62,Valentina,23,M,Cartagena,las basuras no se recogen a tiempo.,Salud,No urgente,1,0,0,2024,8
63,Laura,23,F,Pereira,queremos más presencia policial.,Seguridad,Urgente,1,0,1,2023,5
64,Jorge,70,M,Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,0,1,0,2023,4
65,Ana,30,M,Bogotá,queremos más presencia policial.,Seguridad,No urgente,0,0,1,2024,11
66,Sofía,38,Otro,Manizales,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,1,1,0,2023,6
67,Sofía,69,M,Manizales,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,0,0,1,2024,4
68,Valentina,48,M,Medellín,no hay suficientes escuelas públicas.,Educación,Urgente,1,1,0,2023,7
69,Camilo,27,F,Cali,las basuras no se recogen a tiempo.,Seguridad,Urgente,0,0,1,2023,1
70,María,66,M,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,Urgente,1,0,1,2023,2
71,Jorge,22,Otro,Barranquilla,Sin Comentario,Salud,Urgente,1,1,0,2024,2
72,Sofía,19,F,Pereira,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,0,0,0,2024,9
73,Sofía,32,Otro,Cali,la contaminación del río está aumentando.,Salud,Urgente,0,0,1,2024,10
74,Juan,38,F,Cartagena,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,1,1,1,2024,11
75,Valentina,28,F,Cartagena,hay problemas con la recolección de basura.,Educación,No urgente,1,1,1,2024,4
76,Valentina,24,Otro,Cúcuta,la contaminación del río está aumentando.,Seguridad,Urgente,1,1,0,2024,5
77,Valentina,22,F,Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,0,1,1,2023,1
78,Sofía,48,M,Manizales,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,0,0,0,2023,11
79,Laura,30,F,Cali,necesitamos más acceso a internet en la zona.,Educación,Urgente,1,0,1,2023,3
80,Valentina,25,Otro,Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,1,0,1,2024,7
81,Juan,21,M,Bogotá,Sin Comentario,Medio Ambiente,Urgente,0,1,1,2024,8
82,Juan,19,F,Cali,la contaminación del río está aumentando.,Seguridad,Urgente,0,0,0,2023,5
83,Camilo,58,Otro,Manizales,la contaminación del río está aumentando.,Medio Ambiente,Urgente,1,0,1,2023,10
84,Laura,76,F,Santa Marta,la contaminación del río está aumentando.,Salud,Urgente,1,1,0,2024,9
85,Camilo,16,Otro,Cali,faltan médicos en el centro de salud.,Salud,No urgente,1,1,0,2024,5
